customer_text,generated_reply,relevance,accuracy,tone,completeness,judge_reason,human_relevance,human_accuracy,human_tone,human_completeness
I installed 11.0.3 on my iPhone 6+ and now things like my phone and calendar are freezing &amp; crashing all the time!,We’re sorry you’re seeing that. Can you DM us your location so we can get you set up with the right support? Let’s get this sorted.,2,4,4,2,It asks for location but doesn't address the freezing issue or request full device details as required.,2,4,4,2
thank you for making such a shitty phone that decides to fail my FT call with Katie at least 7000 times a day.,We’re sorry you’re having trouble with FaceTime. Let’s get this fixed—could you DM us your device model and current iOS version? Thanks!,3,5,4,2,Asks for iOS but omits WiFi/cellular query and device model request is unnecessary.,3,5,4,2
Hey and the Netflix app freezes during tv shows or movies on WiFi or on my network on the IPhone X. Is this problem being fixed?PleaseHelp,We’re sorry you’re seeing that. Could you DM us with your iOS version and if the app is up‑to‑date? We’ll dig in and help get Netflix running smoothly again.,4,5,5,3,Asks for info and DM but omits question about cellular freezing and other troubleshooting steps.,4,5,5,3
"So I drop my subscription and my music, the stuff I loaded from purchased CDs disappears. WTH !",We’re sorry you’re seeing that. Let’s get it sorted—can you DM us the device you’re using and whether the songs were added to Apple Music or just to your library? We’ll help you restore them.,5,5,5,4,Asks needed clarification but doesn't explicitly request full account details.,5,5,5,4
"why does my phone automatically play music when I connect the headphone and I can’t stop it,",We can help with that. Could you let us know which music app starts playing and which iPhone model and iOS version you’re using? Please DM us the details so we can troubleshoot.,4,5,5,3,Asks needed details but omits guidance on background audio/auto‑play settings.,4,5,5,3
My speaker phone isn’t working and I am always having service issues with my iPhone do I go to the store or ?,"We’re sorry you’re dealing with that. Can you DM us details about your iPhone model, iOS version, and if the speaker issue is just for calls or all audio? We’ll help you troubleshoot before you head to a store.",4,5,5,5,"Asks needed details and suggests troubleshooting before a store visit, covering all required points.",4,5,5,4
get your act together and fix these stupid autocorrect and weird characters issues. YOU ARE BETTER THAN THIS (I️ hope) imisssteve,"We hear you—thanks for the heads‑up. A quick fix is to reset the keyboard dictionary (Settings → General → Transfer or Reset → Reset Keyboard Dictionary) and turn off “Predictive”. If it’s still acting up, DM us with your device details.",2,2,4,2,"The reply suggests unrelated steps and omits the documented workaround, making it only partially empathetic.",3,2,4,2
any idea what’s this weird rectangle on my screen?,Thanks for reaching out! That rectangle is usually the Zoom accessibility feature. Can you check Settings → Accessibility → Zoom and turn it off? DM us if it’s still there after trying.,5,5,5,3,"Correct answer but adds unnecessary DM suggestion, missing the note to omit DM.",5,5,5,4
Is there no way to upload my entire music collection from iTunes to my 256GB iPhone if I use Apple Music and iCloud Music Library?,Sure thing! With Apple Music and iCloud Music Library you can sync your whole collection to your iPhone. Check out this guide for step‑by‑step instructions: https://support.apple.com/en‑us/HT204931,5,3,5,3,"Addresses the question and is friendly, but oversimplifies capabilities and lacks detailed how‑to steps.",5,3,5,3
"my phone keeps crashing, battery lasts 4 hours, apps freeze, Touch ID inactive, and my screen is no longer calibrated 🤬 IOS11","We’re sorry you’re experiencing this. Can you let us know when the crashes started and if they began after the iOS 11 update? Please DM us so we can troubleshoot the battery, Touch ID, and screen issues together.",4,5,5,4,"Good empathy and info gathering, but could more explicitly acknowledge the full range of issues.",4,5,5,4
I accidentally bought a $50 apple store card through email instead of iTunes card. Is there a way I could replace/return it?,We’ve got you covered—please DM us so we can look into swapping or refunding that card.,4,3,4,2,Addresses the request but omits needed disclaimer about eligibility review and does not clarify that approval is not guaranteed.,4,3,4,2
"When adding an event in Calendar on iphone SE 64gb ios 11.1.2,add an alert first alert a week before,add second day before but once pressed and back to edit page it reverts to opposite! so 1st is now a day 2nd is a week before! why?! 😠","We can help get that sorted. Are the alerts showing up at the times you set, or are they swapping each time you edit? Please DM us with a screenshot of the event details and we’ll investigate.",4,5,5,4,"Addresses the issue and asks for details, but doesn't explicitly clarify the swapping behavior before offering steps.",4,5,5,4
So sick of apples bullshit. Took almost 5 min to open up a podcast now. Everything lags. Apps crash more. Everything lags on the phone now updates make your phone worse with each one,We’re sorry you’re experiencing this. Could you DM us your device model and iOS version? We’ll help get things running smoothly.,5,5,5,5,"It asks for device info, avoids debate, offers DM, and is empathetic.",4,5,5,3
Hello. Notifications on whatsapp are not working since upgraded to iOS 11.0.3. Please help.,"We’re sorry you’re missing WhatsApp alerts. Could you DM us with your device details? In the meantime, try Settings > Notifications > WhatsApp and ensure alerts, sounds, and banners are enabled.",5,5,5,3,Missing DND check and numbered steps as required.,5,5,5,4
I updated my phone and now the only music I have is the Shrek 2 album. help,We’re sorry you’re seeing only the Shrek 2 album. Let’s get your full library back. Can you DM us with your Apple ID and whether you use Apple Music or iTunes? We’ll walk through the next steps together.,3,4,4,4,"Asks for app/account info and DM but assumes Apple services, missing broader app scope.",3,4,4,3
This sucks I hate that my photos have a circle with an exclamation mark,We’re sorry you’re seeing that! Can you let us know which device and iOS version you’re on? Our Photos team can help troubleshoot the exclamation‑mark issue. 🙏📸,2,3,4,2,It asks for device info but doesn't explain the icon or provide the specialist link as required.,3,3,4,2
i’m going to need someone to tell me how to get the reputation album I PAID FOR back onto my phone? I can’t find it anywhere 😡😩 annoyed,"We can help! Was the album purchased from the iTunes Store? If so, check your Purchases in the Music app or let us DM you so we can look into it. 🚀",4,5,4,3,Addresses purchase source but omits request for order/receipt and full verification steps.,4,5,4,3
My phone went from 60% to 30% within 10 minutes... get your shit together,Sorry to hear that! Can you DM us your iPhone model and iOS version? We’ll look into the battery behavior and get this sorted.,4,5,4,3,asks for model but omits advice to check battery usage by app,4,5,4,3
Can fix this “I” glitch already!?,"We’re on it! In the meantime, try this quick workaround: [link]. If you still need help, DM us and we’ll dive in together.",2,3,4,2,"Reply is generic, lacks update steps and doesn't directly address the specific glitch.",3,3,4,2
any idea why my reminders are turning up 1 hour 11 minutes late if they turn up at all?,We’re sorry you’re seeing that delay. Let’s dig in—could you let us know which device and iOS version you’re on? We’ll DM you next steps.,4,5,4,3,Asks for device/iOS but omits follow‑up on consistency of the delay.,4,5,4,3
