tweet_id_customer,author_id_customer,inbound_customer,created_at_customer,text_customer,response_tweet_id_customer,in_response_to_tweet_id_customer,tweet_id_brand,author_id_brand,inbound_brand,created_at_brand,text_brand,response_tweet_id_brand,in_response_to_tweet_id_brand,customer_text_clean,brand_text_clean,cluster
517158,75743,True,Sat Dec 02 04:16:18 +0000 2017,"@AppleSupport I think I’ve found the fix, but there’s a bug in the Clock app/part of the OS. Details here: https://t.co/Y10bHqxnfo",517159,517157,517159,AppleSupport,False,Sat Dec 02 13:59:57 +0000 2017,"@75743 If you have not already, lets back up your iPhone and follow the steps here: https://t.co/osZOKKTalm https://t.co/GDrqU22YpT",517160,517158,"I think I’ve found the fix, but there’s a bug in the Clock app/part of the OS. Details here:","If you have not already, lets back up your iPhone and follow the steps here:",11
398845,210322,True,Mon Oct 09 19:44:02 +0000 2017,"@AppleSupport 1/ When I open Photos, Albums, Camera Roll, the most recent photos that are shown is dated 10/1/17.  The next most recent is from 2014",398847,398843,398847,AppleSupport,False,Mon Oct 09 20:30:35 +0000 2017,"@210322 Do you back up your iPhone?  If you go to https://t.co/tmRhWEkIq4 on a computer and sign in, do you see your photos there?",398848,398845,"1/ When I open Photos, Albums, Camera Roll, the most recent photos that are shown is dated 10/1/17. The next most recent is from 2014","Do you back up your iPhone? If you go to on a computer and sign in, do you see your photos there?",9
588170,258993,True,Sun Dec 03 15:48:15 +0000 2017,@AppleSupport It’s just that I can’t download anything. There’s no button in my iCloud settings that allow the downloading process to begin,588172,588169,588172,AppleSupport,False,Sun Dec 03 16:47:24 +0000 2017,"@258993 Alright, let's take a closer look at this. Which version of iOS are you using? Reply in DM to get started. https://t.co/GDrqU22YpT",,588170,It’s just that I can’t download anything. There’s no button in my iCloud settings that allow the downloading process to begin,"Alright, let's take a closer look at this. Which version of iOS are you using? Reply in DM to get started.",2
875131,327774,True,Fri Oct 20 19:34:00 +0000 2017,@AppleSupport Why DM? Something on the new op system is clearly draining the battery as nothing else has been changed. What have you done?,875133,875130,875133,AppleSupport,False,Fri Oct 20 20:38:32 +0000 2017,@327774 We can better dig into the battery usage in more detail over DM. Please message us there if you wish to continue: https://t.co/GDrqU22YpT,875134,875131,Why DM? Something on the new op system is clearly draining the battery as nothing else has been changed. What have you done?,We can better dig into the battery usage in more detail over DM. Please message us there if you wish to continue:,8
1155267,391767,True,Wed Oct 25 00:20:51 +0000 2017,"@AppleSupport Restarted and is fine.with 11.0.2 I noticed that it was really slow calculating the route,thought was a connection problem",1155268,1155266,1155268,AppleSupport,False,Wed Oct 25 00:34:00 +0000 2017,@391767 Great. We are happy to hear that it is up and running for you again. Come back to us anytime if you need further assistance.,1155269,1155267,"Restarted and is fine.with 11.0.2 I noticed that it was really slow calculating the route,thought was a connection problem",Great. We are happy to hear that it is up and running for you again. Come back to us anytime if you need further assistance.,7
902853,334329,True,Thu Nov 02 17:07:56 +0000 2017,@AppleSupport With the original charger. There is nothing wrong with the cable.,902854,902852,902854,AppleSupport,False,Thu Nov 02 19:16:33 +0000 2017,@334329 Let's work through the steps here: https://t.co/WIvZlsk5oQ https://t.co/GDrqU22YpT,902855,902853,With the original charger. There is nothing wrong with the cable.,Let's work through the steps here:,8
1449301,456308,True,Mon Oct 16 19:50:42 +0000 2017,@AppleSupport My gallery videos do not play unless you are connected to the internet or sometimes do not play. This happens after this update of iOS 11 😕,1449303,1449300,1449303,AppleSupport,False,Mon Oct 16 19:58:32 +0000 2017,@456308 Does it show an error message when trying to play the videos? DM the answer below. https://t.co/GDrqU22YpT,,1449301,My gallery videos do not play unless you are connected to the internet or sometimes do not play. This happens after this update of iOS 11 😕,Does it show an error message when trying to play the videos? DM the answer below.,1
1770816,532333,True,Tue Oct 17 22:20:21 +0000 2017,@AppleSupport iPhone 7 the one that’s exactly like the 6 and 8. And iOS 11.0.3.,1770818,1770815,1770818,AppleSupport,False,Tue Oct 17 22:32:41 +0000 2017,@532333 Try out the steps here: https://t.co/sXbhzfS2lM Reach out to us via DM if it still will not connect. https://t.co/GDrqU22YpT,1770819,1770816,iPhone 7 the one that’s exactly like the 6 and 8. And iOS 11.0.3.,Try out the steps here: Reach out to us via DM if it still will not connect.,1
302283,188128,True,Sat Oct 07 04:31:07 +0000 2017,@AppleSupport Also bugs like ...this is what my phone contacts presently look like 👀 https://t.co/AB6OhWPFtM,302285,302282,302285,AppleSupport,False,Sat Oct 07 13:34:53 +0000 2017,@188128 We'd like to look into this further with you. DM us and we'll go from there. https://t.co/GDrqU22YpT,,302283,Also bugs like ...this is what my phone contacts presently look like 👀,We'd like to look into this further with you. DM us and we'll go from there.,10
857943,323733,True,Fri Oct 20 17:17:24 +0000 2017,"@AppleSupport Restarting actually solved the Problem.
However it seems to be a bug!",857945,857942,857945,AppleSupport,False,Fri Oct 20 18:19:01 +0000 2017,"@323733 That may have been a one time occurrence. If you run into that issue again, let us know and we'll take a deeper look.",,857943,Restarting actually solved the Problem. However it seems to be a bug!,"That may have been a one time occurrence. If you run into that issue again, let us know and we'll take a deeper look.",11
2442771,149695,True,Wed Nov 15 00:04:08 +0000 2017,"@AppleSupport i cant do that because it would take too long to scroll since i have 81,000 photos",2442773,2442770,2442773,AppleSupport,False,Wed Nov 15 00:18:00 +0000 2017,"@149695 We totally understand. The deletion process is a tedious and long task, however, it will definitely get the job done and keep it that way until you decide to change it in the future.",2442774,2442771,"i cant do that because it would take too long to scroll since i have 81,000 photos","We totally understand. The deletion process is a tedious and long task, however, it will definitely get the job done and keep it that way until you decide to change it in the future.",5
2234447,444390,True,Thu Oct 19 15:57:17 +0000 2017,"@AppleSupport iPhone 7+ and MacBook Pro (15-inch, 2016), 2.9 GHz Intel Core i7, 16 GB 2133 MHz LPDDR3",2234445,2234450,2234445,AppleSupport,False,Thu Oct 19 16:37:00 +0000 2017,@444390 Did this start taking place immediately after updating to macOS High Sierra on your Mac?,2234446,2234447,"iPhone 7+ and MacBook Pro (15-inch, 2016), 2.9 GHz Intel Core i7, 16 GB 2133 MHz LPDDR3",Did this start taking place immediately after updating to macOS High Sierra on your Mac?,2
2591346,733925,True,Mon Oct 30 20:16:43 +0000 2017,"@AppleSupport Normally, I take a screenshot and hear it, as well as have a chance to edit it. It doesn’t let me do either.",2591348,2591343,2591348,AppleSupport,False,Mon Oct 30 20:25:00 +0000 2017,@733925 DM us using the link below. We'll check into this with you from there. https://t.co/GDrqU22YpT,,2591346,"Normally, I take a screenshot and hear it, as well as have a chance to edit it. It doesn’t let me do either.",DM us using the link below. We'll check into this with you from there.,0
817003,314582,True,Fri Oct 13 00:31:10 +0000 2017,@AppleSupport Why does it take 10-15 seconds to open any app? The camera app even? 5 iPhones in family. All the same. #android #updated,817005,817002,817005,AppleSupport,False,Fri Oct 13 00:48:00 +0000 2017,@314582 We want to sort this out together. Send us a DM and tell us your iPhone model and exact iOS 11 verison. https://t.co/GDrqU22YpT,,817003,Why does it take 10-15 seconds to open any app? The camera app even? 5 iPhones in family. All the same. android updated,We want to sort this out together. Send us a DM and tell us your iPhone model and exact iOS 11 verison.,3
33408,123389,True,Wed Nov 01 16:31:44 +0000 2017,@AppleSupport @123388 I hate it !! The entire format changed! When I receive a call I have to say hello 2x no one hears me the first time battery dies quick 😡,33409,33407,33409,AppleSupport,False,Wed Nov 01 17:20:00 +0000 2017,@123389 We want to help! Please join us in DM to get started troubleshooting. https://t.co/GDrqU22YpT,,33408,I hate it !! The entire format changed! When I receive a call I have to say hello 2x no one hears me the first time battery dies quick 😡,We want to help! Please join us in DM to get started troubleshooting.,8
90257,135587,True,Thu Nov 30 11:55:33 +0000 2017,"@AppleSupport No, I think this needs to be public so it can help other people. So the phone is now dead and won’t charge, regardless of what charging cable I use or what I plug it into. What are you going to do about that? #iPhonebattery #iOS11",90256,90258,90256,AppleSupport,False,Thu Nov 30 15:09:01 +0000 2017,"@135587 Let us gather information in order to help look into some options for you. We'd like to continue in DM in order to keep your information private. Whenever you're ready, we'll continue the conversation there. https://t.co/GDrqU22YpT",,90257,"No, I think this needs to be public so it can help other people. So the phone is now dead and won’t charge, regardless of what charging cable I use or what I plug it into. What are you going to do about that? iPhonebattery iOS11","Let us gather information in order to help look into some options for you. We'd like to continue in DM in order to keep your information private. Whenever you're ready, we'll continue the conversation there.",8
1980845,586361,True,Wed Oct 18 20:04:53 +0000 2017,"@AppleSupport Haven’t done that update yet, so I am on the update before it...I was going to update today.",1980847,1980844,1980847,AppleSupport,False,Wed Oct 18 20:32:29 +0000 2017,@586361 Thank you. Make sure you create a backup before updating. Report back with the result. https://t.co/ahjigcvFRG,,1980845,"Haven’t done that update yet, so I am on the update before it...I was going to update today.",Thank you. Make sure you create a backup before updating. Report back with the result.,7
2779302,509930,True,Tue Nov 21 16:15:47 +0000 2017,"@AppleSupport When I got the iPhone X. I’m thinking it comes with the update. Before I had the 6 and but didn’t have iOS 11 update. Now when I click on my Twitter or Snapchat app, my audio automatically pauses.",2779301,2779303,2779301,AppleSupport,False,Tue Nov 21 16:25:00 +0000 2017,@509930 What version of iOS are you currently running? You can see that by going to Settings &gt; General &gt; About on your iPhone?,,2779302,"When I got the iPhone X. I’m thinking it comes with the update. Before I had the 6 and but didn’t have iOS 11 update. Now when I click on my Twitter or Snapchat app, my audio automatically pauses.",What version of iOS are you currently running? You can see that by going to Settings &gt; General &gt; About on your iPhone?,0
2898991,148426,True,Tue Nov 28 20:10:15 +0000 2017,@AppleSupport No - consistently it won’t even recognise any Wi-fi - I’ve reported this problem on Twitter multiple times this last few months can u not review what I’ve said previously - nothing has changed,2898992,2898990,2898992,AppleSupport,False,Tue Nov 28 20:22:54 +0000 2017,@148426 Thanks for the information. We'd like to take a closer look with you. Please DM us and we'll continue there. https://t.co/GDrqU22YpT,,2898991,No - consistently it won’t even recognise any Wi-fi - I’ve reported this problem on Twitter multiple times this last few months can u not review what I’ve said previously - nothing has changed,Thanks for the information. We'd like to take a closer look with you. Please DM us and we'll continue there.,4
36647,123984,True,Wed Nov 01 14:08:12 +0000 2017,"@AppleSupport Too laggy and i think 11.1 more laggy for old iphone and worst when low battery, i very miss the all days on 10.",36649,36646,36649,AppleSupport,False,Wed Nov 01 14:14:30 +0000 2017,"@123984 Send us a DM telling us which iPhone you have, and what happens after following these steps: https://t.co/OWRDHWSt4h https://t.co/GDrqU22YpT",,36647,"Too laggy and i think 11.1 more laggy for old iphone and worst when low battery, i very miss the all days on 10.","Send us a DM telling us which iPhone you have, and what happens after following these steps:",7
1777197,534017,True,Wed Nov 08 08:07:31 +0000 2017,"@AppleSupport yes,  maps is also having GPS problems it will work for a minute then drop out of location. I phone 6 and 11.1",1777199,1777196,1777199,AppleSupport,False,Wed Nov 08 15:26:00 +0000 2017,@534017 Got it. Let's complete all the steps listed here: https://t.co/elS9gzAlyd. DM the results below. https://t.co/GDrqU22YpT,,1777197,"yes,  maps is also having GPS problems it will work for a minute then drop out of location. I phone 6 and 11.1",Got it. Let's complete all the steps listed here: DM the results below.,4
1978931,553621,True,Tue Oct 31 19:26:52 +0000 2017,@AppleSupport @585907 I haven’t got this either and I’m running 11.0.3 !!,1978929,1978932,1978929,AppleSupport,False,Tue Oct 31 19:37:00 +0000 2017,@553621 We’ve recently released a new update. Please back up and update. The new emoji are included. https://t.co/ahjigcvFRG,"1978930,1978927",1978931,I haven’t got this either and I’m running 11.0.3 !!,We’ve recently released a new update. Please back up and update. The new emoji are included.,7
1068895,372239,True,Mon Oct 23 17:48:30 +0000 2017,@AppleSupport Yes and I haven’t tried on another computer I’m trying it on my laptop,1068896,1068894,1068896,AppleSupport,False,Mon Oct 23 18:04:06 +0000 2017,@372239 Let's take a deeper look then. Please send us a DM so we may better assist you. https://t.co/GDrqU22YpT,,1068895,Yes and I haven’t tried on another computer I’m trying it on my laptop,Let's take a deeper look then. Please send us a DM so we may better assist you.,9
2213590,646909,True,Thu Oct 19 15:29:13 +0000 2017,"@AppleSupport It's not working on any browser, on any device. yes it's persisting on both my mac mini (sierra/safari) and laptop (windows 10/chome/firfox)",2213593,2213589,2213593,AppleSupport,False,Thu Oct 19 16:12:00 +0000 2017,"@646909 Got it! For further Developer support, let's reach out here: https://t.co/MN29maiV1D",,2213590,"It's not working on any browser, on any device. yes it's persisting on both my mac mini (sierra/safari) and laptop (windows 10/chome/firfox)","Got it! For further Developer support, let's reach out here:",11
1850502,553975,True,Wed Oct 18 22:04:16 +0000 2017,"@AppleSupport Yes, I’ve done all that and tried *several* Apple approved lightning cords. It charges *very* slowly or not at all.",1850500,1850503,1850500,AppleSupport,False,Wed Oct 18 22:23:33 +0000 2017,@553975 We appreciate you taking the time to verify that you've done those steps. Send a DM telling us which iPad you have &amp; iOS version. https://t.co/GDrqU22YpT,1850501,1850502,"Yes, I’ve done all that and tried *several* Apple approved lightning cords. It charges *very* slowly or not at all.",We appreciate you taking the time to verify that you've done those steps. Send a DM telling us which iPad you have &amp; iOS version.,8
925077,339522,True,Tue Oct 10 21:29:14 +0000 2017,@AppleSupport I'm using an iPhone 6 and how do you figure out what OS version is being used?,925079,925076,925079,AppleSupport,False,Tue Oct 10 22:09:29 +0000 2017,@339522 Check out the following article for guidance on this: https://t.co/ZTw54HL4Rm,,925077,I'm using an iPhone 6 and how do you figure out what OS version is being used?,Check out the following article for guidance on this:,2
823512,316169,True,Sun Oct 08 23:26:35 +0000 2017,@AppleSupport I’ve tried that before. They aren’t coming up on my Find My iPhone app. And I followed all directions.,823514,823511,823514,AppleSupport,False,Mon Oct 09 00:22:24 +0000 2017,@316169 Thank you for letting us know! Send us a DM to look into this further. https://t.co/GDrqU22YpT,,823512,I’ve tried that before. They aren’t coming up on my Find My iPhone app. And I followed all directions.,Thank you for letting us know! Send us a DM to look into this further.,2
883157,329725,True,Fri Oct 13 18:15:59 +0000 2017,@AppleSupport Thank you so much for the quick response.,883159,883156,883159,AppleSupport,False,Fri Oct 13 18:21:30 +0000 2017,@329725 You’re welcome. Feel free to reach back out if you need any more help in the future. Have a great weekend!,,883157,Thank you so much for the quick response.,You’re welcome. Feel free to reach back out if you need any more help in the future. Have a great weekend!,5
2286428,664375,True,Sun Nov 12 00:17:31 +0000 2017,@AppleSupport Yes it was restarted multiple times. Bluetooth connected for about 10 mins then completely dropped connection out of nowhere. Had to pull over and resync the phone to my car. Apple CarPlay was playing my music but the menu wouldn’t show the correct song or time. https://t.co/FIJhp94GBT,2286426,2286430,2286426,AppleSupport,False,Sun Nov 12 01:26:55 +0000 2017,"@664375 Are any other Bluetooth devices, besides your car, showing issues with staying connected?",2286427,2286428,Yes it was restarted multiple times. Bluetooth connected for about 10 mins then completely dropped connection out of nowhere. Had to pull over and resync the phone to my car. Apple CarPlay was playing my music but the menu wouldn’t show the correct song or time.,"Are any other Bluetooth devices, besides your car, showing issues with staying connected?",6
1232957,409177,True,Thu Oct 26 20:27:14 +0000 2017,"@AppleSupport No update yet on my issues n where I should raise grievances @115858 @AppleSupport,plz improve customer satisfaction sir n help me @116333",1232961,1232956,1232961,AppleSupport,False,Thu Oct 26 21:45:00 +0000 2017,@409177 Hi there! We'll take a look at your concern. Join us in DM to get started. https://t.co/GDrqU22YpT,,1232957,"No update yet on my issues n where I should raise grievances ,plz improve customer satisfaction sir n help me",Hi there! We'll take a look at your concern. Join us in DM to get started.,5
854984,323063,True,Mon Nov 06 02:44:23 +0000 2017,@AppleSupport That does not work. How long is it going to take for us to get another software update?????????,854983,854985,854983,AppleSupport,False,Mon Nov 06 04:33:33 +0000 2017,@323063 Let's meet in DM to talk about the issue. Let us know your country and iPhone model so we can see your support options. Thanks! https://t.co/GDrqU22YpT,,854984,That does not work. How long is it going to take for us to get another software update?????????,Let's meet in DM to talk about the issue. Let us know your country and iPhone model so we can see your support options. Thanks!,9
1700930,515765,True,Mon Nov 06 21:56:26 +0000 2017,"@AppleSupport Iphone 7. Glitching, having to hard reset because of freezing and if I use the I on fb or other things like texts it shows a ? In a box",1700932,1700929,1700932,AppleSupport,False,Mon Nov 06 23:12:00 +0000 2017,@515765 Got it. DM us the exact iOS version and we'll take a closer look. https://t.co/GDrqU22YpT,,1700930,"Iphone 7. Glitching, having to hard reset because of freezing and if I use the I on fb or other things like texts it shows a ? In a box",Got it. DM us the exact iOS version and we'll take a closer look.,3
792162,308891,True,Thu Oct 12 13:53:39 +0000 2017,@AppleSupport my wifi connection has become really slow to the point where it’ll say i have no connection at all while i’m on an app,792164,792161,792164,AppleSupport,False,Thu Oct 12 15:17:16 +0000 2017,@308891 Thanks for reaching out to us. Do you notice the Wi-Fi issue on multiple networks or just a certain one?,792165,792162,my wifi connection has become really slow to the point where it’ll say i have no connection at all while i’m on an app,Thanks for reaching out to us. Do you notice the Wi-Fi issue on multiple networks or just a certain one?,4
2890635,455484,True,Tue Nov 28 14:44:00 +0000 2017,@AppleSupport So i got my iphone 7 for less than half a year and this is how my battery goes low 70% in 3 hours!!??,2890637,2890634,2890637,AppleSupport,False,Tue Nov 28 15:30:49 +0000 2017,@455484 Battery life is very important. We'd love to assist you with yours. Let's go to Settings &gt; General &gt; About and provide us with the software version that you're using.,2890638,2890635,So i got my iphone 7 for less than half a year and this is how my battery goes low 70% in 3 hours!!??,Battery life is very important. We'd love to assist you with yours. Let's go to Settings &gt; General &gt; About and provide us with the software version that you're using.,8
505119,235805,True,Wed Nov 29 17:46:12 +0000 2017,"@AppleSupport Now iOS 11.12
But the problem was before the last three updates",505118,505120,505118,AppleSupport,False,Wed Nov 29 18:08:26 +0000 2017,@235805 Is this happening with all Apps or just certain ones? What do you try to resolve this?,505117,505119,Now iOS 11.12 But the problem was before the last three updates,Is this happening with all Apps or just certain ones? What do you try to resolve this?,1
2799434,781040,True,Tue Nov 21 23:50:54 +0000 2017,"@AppleSupport I’m in Australia and I’m calling the U.S. the phone rings, I see a “connecting” message, then a black screen.",2799436,2799433,2799436,AppleSupport,False,Tue Nov 21 23:59:25 +0000 2017,"@781040 Got it. Which device are you currently using to FaceTime? Also, what software version is that device running?",2799437,2799434,"I’m in Australia and I’m calling the U.S. the phone rings, I see a “connecting” message, then a black screen.","Got it. Which device are you currently using to FaceTime? Also, what software version is that device running?",2
481744,229505,True,Fri Dec 01 16:07:59 +0000 2017,"@AppleSupport The battery can go from 60% - 10% in 5 mins, the phone freeze’s then shuts down. My apps don’t work all he time, I still have 6 months left to pay before an upgrade. Thanks so much",481746,481743,481746,AppleSupport,False,Fri Dec 01 16:58:34 +0000 2017,@229505 No worries. We're to help. Are you on the latest iOS 11.1.2? Let us know in a DM and we'll go from there. https://t.co/GDrqU22YpT,,481744,"The battery can go from 60% - 10% in 5 mins, the phone freeze’s then shuts down. My apps don’t work all he time, I still have 6 months left to pay before an upgrade. Thanks so much",No worries. We're to help. Are you on the latest iOS 11.1.2? Let us know in a DM and we'll go from there.,8
2035506,279407,True,Wed Nov 08 10:55:08 +0000 2017,@AppleSupport No you can't. It's not my fault. It's your fault. And I don't want to pass through all the stupid questions if I was like a noobie. C'mon @115858. Do not disappoint me.,2035508,2035505,2035508,AppleSupport,False,Wed Nov 08 16:08:00 +0000 2017,@279407 We're glad to assist you and would like you to reach out in DM so we can gather more information. You can use the link below. https://t.co/GDrqU22YpT,,2035506,No you can't. It's not my fault. It's your fault. And I don't want to pass through all the stupid questions if I was like a noobie. C'mon . Do not disappoint me.,We're glad to assist you and would like you to reach out in DM so we can gather more information. You can use the link below.,5
388537,207933,True,Wed Oct 11 18:02:52 +0000 2017,"@AppleSupport Yes, it ask if I want to trust, I say yes, then my mac says it can trust because of a passcode",388539,388536,388539,AppleSupport,False,Wed Oct 11 18:29:01 +0000 2017,@207933 Is your iPhone unlocked when you hit Trust on the iPhone display?,"388540,388541",388537,"Yes, it ask if I want to trust, I say yes, then my mac says it can trust because of a passcode",Is your iPhone unlocked when you hit Trust on the iPhone display?,9
2111537,374386,True,Wed Nov 08 22:36:54 +0000 2017,"@AppleSupport When I want to record a video from Safari, there’s no sound. On other apps, it works fine.",2111539,2111536,2111539,AppleSupport,False,Wed Nov 08 22:59:00 +0000 2017,@374386 When this happens is the Ring/Silent switch turned on?,2111540,2111537,"When I want to record a video from Safari, there’s no sound. On other apps, it works fine.",When this happens is the Ring/Silent switch turned on?,0
2255453,123380,True,Fri Nov 10 21:54:11 +0000 2017,@AppleSupport What about the battery issue with iOS 11?,2255452,2255454,2255452,AppleSupport,False,Sat Nov 11 00:08:53 +0000 2017,@123380 We can take a further look. DM us what iOS version. https://t.co/GDrqU22YpT,,2255453,What about the battery issue with iOS 11?,We can take a further look. DM us what iOS version.,8
1628928,498635,True,Sun Nov 05 15:47:15 +0000 2017,@AppleSupport Just to make matters worse- I live in Korea- not really any Apple support stores here soooooooo.... 😒,1628931,1628927,1628931,AppleSupport,False,Sun Nov 05 19:25:29 +0000 2017,"@498635 When it turns off, do you see an Apple logo or spinning gear? Do you have to power it back on manually?",1628932,1628928,Just to make matters worse- I live in Korea- not really any Apple support stores here soooooooo.... 😒,"When it turns off, do you see an Apple logo or spinning gear? Do you have to power it back on manually?",2
394560,209480,True,Mon Oct 09 18:04:11 +0000 2017,"@AppleSupport I’m aware of that, only they don’t work! I disable wifi on the control center but it keeps enabled. And the same goes to Bluetooth!",394562,394559,394562,AppleSupport,False,Mon Oct 09 19:07:32 +0000 2017,"@209480 Disabling Wi-Fi &amp; Bluetooth from the control center, only disconnects you from the network you're currently connected to.",394563,394560,"I’m aware of that, only they don’t work! I disable wifi on the control center but it keeps enabled. And the same goes to Bluetooth!","Disabling Wi-Fi &amp; Bluetooth from the control center, only disconnects you from the network you're currently connected to.",4
1684358,511872,True,Mon Nov 06 17:15:58 +0000 2017,@AppleSupport This might work for now. But are you fixing it for real? Eye pay a lot for your phone. It should work.,1684360,1684357,1684360,AppleSupport,False,Mon Nov 06 19:54:27 +0000 2017,@511872 Keep an eye out for future iOS updates.,,1684358,This might work for now. But are you fixing it for real? Eye pay a lot for your phone. It should work.,Keep an eye out for future iOS updates.,2
1646690,503136,True,Mon Nov 06 00:43:04 +0000 2017,@AppleSupport Thanks. That was helpful for “I” but what about “I.T”?,1646689,1646691,1646689,AppleSupport,False,Mon Nov 06 02:23:03 +0000 2017,@503136 DM us details on what's happening with 'I.T' and we'll continue support with you there. https://t.co/GDrqU22YpT,,1646690,Thanks. That was helpful for “I” but what about “I.T”?,DM us details on what's happening with 'I.T' and we'll continue support with you there.,10
2623976,259835,True,Mon Oct 30 22:42:47 +0000 2017,@AppleSupport ....as advised when I went there on Tuesday but no one replied.,2623979,2623975,2623979,AppleSupport,False,Mon Oct 30 22:47:55 +0000 2017,@259835 DM us the details and we'll be happy to look into it. https://t.co/GDrqU22YpT,2623980,2623976,....as advised when I went there on Tuesday but no one replied.,DM us the details and we'll be happy to look into it.,5
