customer_text,generated_reply,relevance,accuracy,tone,completeness,judge_reason
So sick of apples bullshit. Took almost 5 min to open up a podcast now. Everything lags. Apps crash more. Everything lags on the phone now updates make your phone worse with each one,We’re sorry you’re experiencing this. Could you DM us your device model and iOS version? We’ll help get things running smoothly.,5,5,5,5,"It asks for device info, avoids debate, offers DM, and is empathetic."
My phone really fucked all my apps up I thought iPhones didn't have viruses...,Sorry to hear that! Can you DM us with more details about what’s happening and any error messages you’re seeing? We’ll help you troubleshoot and get your apps back on track.,3,5,4,2,"Missing reassurance that it's likely not a virus, though tone and request for details are good."
Still some major issues with Spotify compadability with new ios it won’t show what’s playing on lock screen i had to delete music app too,We’re sorry you’re seeing that. Could you DM us your iPhone model and the iOS version you’re on? We’ll dig in and get this sorted.,4,5,5,3,Asks for needed info but omits mention of the compatibility gap and urgency note.
Hey and the Netflix app freezes during tv shows or movies on WiFi or on my network on the IPhone X. Is this problem being fixed?PleaseHelp,We’re sorry you’re seeing that. Could you DM us with your iOS version and if the app is up‑to‑date? We’ll dig in and help get Netflix running smoothly again.,4,5,5,3,Asks for info and DM but omits question about cellular freezing and other troubleshooting steps.
"my phone keeps crashing, battery lasts 4 hours, apps freeze, Touch ID inactive, and my screen is no longer calibrated 🤬 IOS11","We’re sorry you’re experiencing this. Can you let us know when the crashes started and if they began after the iOS 11 update? Please DM us so we can troubleshoot the battery, Touch ID, and screen issues together.",4,5,5,4,"Good empathy and info gathering, but could more explicitly acknowledge the full range of issues."
"hey your new iOS update has nearly fucking bricked my iPhone SE, how do I roll back your piece of shit update?",We’re sorry you’re having trouble. Let’s see what’s going on and find the best solution. Please DM us with your iPhone SE model and iOS version so we can help you further.,3,5,4,2,"Acknowledges issue but lacks empathy and recovery‑mode guidance, missing key points."
"When adding an event in Calendar on iphone SE 64gb ios 11.1.2,add an alert first alert a week before,add second day before but once pressed and back to edit page it reverts to opposite! so 1st is now a day 2nd is a week before! why?! 😠","We can help get that sorted. Are the alerts showing up at the times you set, or are they swapping each time you edit? Please DM us with a screenshot of the event details and we’ll investigate.",4,5,5,4,"Addresses the issue and asks for details, but doesn't explicitly clarify the swapping behavior before offering steps."
I installed 11.0.3 on my iPhone 6+ and now things like my phone and calendar are freezing &amp; crashing all the time!,We’re sorry you’re seeing that. Can you DM us your location so we can get you set up with the right support? Let’s get this sorted.,2,4,4,2,It asks for location but doesn't address the freezing issue or request full device details as required.
My iPhone keeps shutting off and deleting stuff. ETF 😡😡 I'm keeping my 6s plus! Or maybe I'll go back to using an Android 🤔,"We’re sorry you’re experiencing this. Could you DM us with your iPhone 6s Plus model, iOS version, and any recent updates? We’ll help get it back to normal.",3,5,4,2,"Missing request for details on deleted data and shutdown timing, so not fully covering required points."
TestFlight crashing like a hell on iPad running iOS 11,"We’re sorry you’re seeing crashes. Can you confirm you’re on iOS 11.0.3 (Settings ▶ General ▶ About)? If you’re already there, please DM us with the iPad model and any error details so we can dig in.",5,5,5,5,"It asks for the exact iOS version, notes beta instability, and requests more info via DM, matching the guidelines."
Thanks this is the third time I’ve overslept bc the sound on my alarm isn’t working since the new update. 😔 FIX IT!!!,We’re sorry you’re dealing with this. Please DM us your iPhone model and iOS version so we can dig in and get your alarm back on track.,3,3,4,2,"Acknowledges issue but misses empathy, device variety, and setting checks."
"Anyone else having crackle noises in their earphones on iPhone 8, ios11?",We’d love to help. Please DM us with your iOS version and earphone model so we can look into it.,3,5,4,2,Asks for info but misses key question about multiple earphone pairs and other details.
"why does my phone automatically play music when I connect the headphone and I can’t stop it,",We can help with that. Could you let us know which music app starts playing and which iPhone model and iOS version you’re using? Please DM us the details so we can troubleshoot.,4,5,5,3,Asks needed details but omits guidance on background audio/auto‑play settings.
been 3 days with a silent morning alarm despite no issues in past versions and correctly following all troubleshooting.,We’re sorry you’re still dealing with silent alarms. Could you DM us your iPhone model and iOS version? We’ll dig in and get it sounding again.,2,3,4,2,"It fails to mention the 11.0.2 update and steps, only asks for device info."
Why can’t I control my music from the lock screen HELP,"Let’s sort this out! Are you using Apple Music or another app? Also, which iOS version are you on? DM us with those details and we’ll get your lock‑screen controls working again.",5,5,5,5,"It asks the needed app and iOS version, is correct, friendly, and fully covers the required points."
"My audio keeps breaking, any idea why?","We’d love to help! Can you share a bit more about the issue—what device and iOS version you’re using, and when the audio starts cutting out? Please DM us so we can dive deeper.",4,5,4,3,"Asks for details but doesn't explicitly request a description of the breaking sound, so it's slightly incomplete."
fix my music library N O W.,"We’d love to help! Can you let us know what’s happening with your library—missing songs, playback issues, or something else? Please DM us with a bit more detail so we can get it sorted.",4,5,5,5,"Asks for details without assuming cause, matching guidelines."
"Instantly regretting my purchase. I'm exactly one month outside of my warranty and my ""worlds greatest headphones"" decided to stop working all together. Fantastic.","We’re sorry to hear that! Let’s see what we can do. Please DM us with the headphone model, purchase date, and your location so we can look into options for you.",3,5,4,2,Missing acknowledgment of warranty timing and eligibility review details.
My speaker phone isn’t working and I am always having service issues with my iPhone do I go to the store or ?,"We’re sorry you’re dealing with that. Can you DM us details about your iPhone model, iOS version, and if the speaker issue is just for calls or all audio? We’ll help you troubleshoot before you head to a store.",4,5,5,5,"Asks needed details and suggests troubleshooting before a store visit, covering all required points."
I updated my phone and now the only music I have is the Shrek 2 album. help,We’re sorry you’re seeing only the Shrek 2 album. Let’s get your full library back. Can you DM us with your Apple ID and whether you use Apple Music or iTunes? We’ll walk through the next steps together.,3,4,4,4,"Asks for app/account info and DM but assumes Apple services, missing broader app scope."
Apple please help me my phone keeps beeping like a fire alarm and I’m SCARED,We’re sorry you’re hearing that! Can you DM us with when it started and if any new apps or updates were installed? We’ll help you sort it out.,3,4,3,2,"It asks for info but omits safety checks, empathy, and escalation guidance."
HELP! Loud speaker doesn’t work on my phone anymore 😭😭😭,We’re sorry to hear that! Could you DM us with your iPhone model and iOS version? Let’s get that speaker back to full volume.,4,5,5,3,"Good empathy and request for details, but misses confirming if problem is calls‑only or all audio."
your iOS 11 update has been messing up my car when I use car play now it doesn’t even play through my speakers anymore,We’re sorry you’re having trouble. Can you DM us the iPhone model and iOS version you’re on? We’ll help get CarPlay working again.,4,5,5,3,"Asks for device info but omits request for car model, so not fully complete."
I keep having troubles with the sound on my phone when I make a call. I can’t hear the other side and they can’t hear me,"We’re sorry you’re having trouble. Can you let us know if this happens with all calls or just some, and if you’ve tried restarting the phone or checking the mute and volume settings? Let’s get this fixed!",4,5,5,2,"Misses key questions about incoming calls and speaker vs. handset, and doesn't mention moving to DM."
Why doesn’t the lightning to headphone (iPhone 7) jack work with earphones which a volume control?,We can help figure that out! Are you using the EarPods that came with your iPhone 7 or a different set with a volume control? Let us know via DM so we can troubleshoot the lightning‑to‑headphone issue.,4,4,5,4,"Asks needed details and is friendly, but could be slightly more specific."
"new update, Siri sucks does not say anything! She doesn’t answer any questions or even speak? Wtf????","Thanks for letting us know. Let’s get Siri talking again—please check that “Hey Siri” and Voice Feedback are enabled in Settings → Siri & Search. If it’s still silent, DM us your device model and iOS version so we can help.",5,5,4,5,"Addresses the issue with setup steps and follow‑up request, all accurate, tone is polite but could be slightly more empathetic."
"So when I now take a screenshot, the snippet at the bottom doesn’t appear and it makes no sound - ???","We’re happy to help! Which iOS version are you on, and does the screenshot still save to Photos? Please DM us with those details.",4,5,5,3,Asks for version but omits mention of the behavior change to investigate.
"my daughters iPhone 6s is stuck in headphone mode. I’ve turned it off and back on, it’s not in do not disturb mode... please help","Thanks for reaching out! Let’s try a quick fix: plug in headphones, then unplug them and restart the iPhone. If it’s still stuck, please DM us with your region so we can dive deeper.",5,5,5,5,Provides the documented fix steps and offers DM for further help.
why does my phone keep popping up with a muted sign and muting my music???,"Thanks for letting us know! Are you using headphones or a Bluetooth device, and is the music playing from Apple Music or another app? Also, check Settings → Sounds & Haptics for any mute shortcuts. Let’s figure it out!",5,4,5,5,"Addresses the key questions and adds a helpful tip, with correct but slightly speculative info."
"Shoutout to and iOS 11, every so often my alarms are completely silent. Y’all gonna Email my professor and explain?",DM us your device model and iOS version so we can dig into why the alarms are going silent. We’ll help get you back on time for class!,5,5,4,4,"Addresses the issue and asks for details, but lacks a brief apology or reassurance."
"since I upgraded to iOS 11, control center and lock screen music controls don’t work reliably.","Hi! Sorry you’re seeing this. Can you let us know if it’s happening with the Music app or another app, and if a restart helps? DM us so we can dig in further.",4,5,5,3,Asks useful follow‑up but doesn’t explicitly request timing details of the failure.
MacBook Air from india under warranty - battery drains. All checks done. India support team doesn’t understand . appleindia support team breach of security verification . Need help. timcook applesupportindia,"We’re sorry you’re having this trouble. Please DM us with your device’s serial number and a brief summary of the steps you’ve taken, and we’ll get the right team on it right away.",2,4,4,2,It fails to address the security verification issue and does not route to a specialist as required.
My battery life on my iPhone SE on iOS 11.1 suddenly became worse compared to iOS 11.0.3. How do I solve this issue?,We’re sorry to hear that! Could you let us know which iPhone SE model you have and when the issue started? Please DM us so we can dive into the details and help get your battery back on track.,4,5,5,4,Covers key questions and DM request but omits asking about usage patterns.
"my iPhone has died a total of FOUR times today even though every time it was on ""100%""... , you're going to get a very angry call soon",Thanks for letting us know. We want to help you sort this out. Could you DM us your iOS version (Settings → General → About) and any recent battery‑related updates? We'll investigate right away.,3,4,3,2,It asks for info but lacks empathy and doesn't acknowledge the repeated shutdown issue.
"sooooo my iPhone won't turn back on, and its been sitting on a charger for 5 hours...",We’d like to help! Please DM us your location (country) so we can get you the right next steps.,1,2,2,1,"The reply doesn't address the iPhone issue, lacks troubleshooting steps, and only asks for location."
so not only do i have to suffer with crashing or freezing on an hourly basis. I now need to charge my phone 3 times a day and to top it off I can’t make any calls. This is a joke,We’re sorry you’re dealing with this. Can you DM us your iOS version (Settings > General > About) and battery health (Settings > Battery > Battery Health)? We’ll work with you to get it fixed.,4,5,5,4,"Addresses the issue and asks for diagnostics, but could better acknowledge the disruption and note it requires deeper investigation."
why is the ios11 so buggy and battery draining in the iphone 7+??????? Its annoying!!,We’re sorry you’re seeing bugs and battery drain. Which iOS 11 version are you on (Settings → General → About)? Updating to the latest 11.x release often helps. Let us know the version so we can assist further.,4,4,4,3,Missing mention of indexing period and reassurance that drain may improve after updates
The charging port on my macbook just started smoking. Happy finals week! 🍎💻,We’re sorry to hear that! Please DM us with your location (country) so we can help you right away.,1,2,3,1,"It fails to advise immediate safety actions, escalation, and only asks for location."
I cannot believe that my phone will not charge. What the fuck,"We’re sorry you’re having trouble. Are you using the original cable and charger that came with your iPhone? If not, try a different outlet or cable, and let us know if the issue persists.",5,5,4,4,Good troubleshooting but omits reference to the standard charging article.
"What is the expected battery discharge of AirPods left in their case, with the case closed? I’ve lost 7% in 2.5 hours. Normal?",Happy to help! A sealed case typically loses only a few percent over several hours. DM us with your AirPods model and any recent usage details so we can look into it further.,3,3,4,2,"Provides a vague estimate and asks for more info, but lacks the expected discharge range and full answer."
iPhone won't power on. Try to make reservation to go in store for repair. Can't make booking as the code is sent to my phone.,"We’re sorry you’re stuck. Could you DM us a bit more detail (e.g., model, iOS version, any recent updates) so we can help you get a reservation without the code? We'll work with you to get it sorted.",3,4,4,2,Acknowledges issue but doesn't propose alternate verification or route to a specialist as required.
Should I really get an 8 plus next month 🤔. My phone went black for like 15 minutes on 96% and I didn't even update to the new iOS,We’re sorry you experienced that! Could you DM us your iPhone model and the iOS version you’re currently on? We’ll help figure out if an upgrade is the right move.,2,4,4,2,It asks for info but doesn't follow the suggested points about recurrence or monitoring.
dowloaded ios 11 and now my phone drains battery even when plugged in,We’re sorry you’re seeing that battery drain. Can you DM us with your iPhone model and iOS version? We’ll work with you to get it fixed.,4,5,5,3,Missing request for accessories/cable and doesn't fully follow the suggested ask.
My iPhone 8+ has been spontaneously dying and restarting ALL DAY LONG. Known issues?,We’re sorry to hear that. Can you let us know which iOS version you’re on (Settings → General → About) and if you’ve tried a force‑restart or updating the software? We’ll help you get it fixed.,3,4,4,3,Acknowledges issue but lacks full empathy and doesn't ask about prior troubleshooting steps.
My phone went from 60% to 30% within 10 minutes... get your shit together,Sorry to hear that! Can you DM us your iPhone model and iOS version? We’ll look into the battery behavior and get this sorted.,4,5,4,3,asks for model but omits advice to check battery usage by app
IOS 11 causes my iPhone 7 to turn off at 30%!!!! I was out and needed my phone and it went OFF ?! NEVER had problems before it,We’re sorry you’re experiencing this! Does it happen every time the battery hits around 30%? Please DM us with your iOS 11 version and any recent updates so we can help troubleshoot.,3,5,4,2,Missing battery health guidance and full acknowledgment of the issue.
I’m having trouble keeping my battery charged over the last 2-3 weeks. This has never been a huge problem before. Any ideas???,We’re sorry you’re seeing this. Which iOS version are you on? You can check in Settings → General → About. Let’s figure it out together—please DM us the details.,3,4,4,2,Asks for iOS version but omits battery health check and other guidance.
Ohhh so now all of a sudden my phone's battery life is shitty &amp; dies extremely fast🤔 u think u slick??,We’re sorry you’re seeing that drop in battery life. Can you DM us your iPhone model and iOS version so we can dig in and help?,4,5,4,4,"Addresses the issue and asks for model, but could show a bit more empathy."
I specifically waited until iOS 11.0.3 so a lot of your bugs would be fixed. Now I have to charge my phone all the time,We’re sorry you’re still seeing excess battery drain. Let’s dig into it—could you DM us details about your device and usage so we can help you troubleshoot?,4,5,5,3,"Good tone and helpful request, but lacks explicit acknowledgment of the user's frustration after updating."
hey I bought my iPhone 8 a week ago and my phone has died overnight while charged at 50% two nights in a row 😶😶,We’re sorry you’re seeing that. Let’s look into it—can you DM us your serial number and iOS version? We’ll work with you to get your battery behaving normally.,3,4,4,2,It asks for info but misses acknowledging the unusual failure and probing power‑on behavior.
". iPhone 7 battery life was great until iOS 11. Now on 11.1.2 and shutdowns occur at 67%. Killed all apps and it doesn’t shut off, but dropped 30% in 20 minutes.","We’re sorry you’re seeing those drops. Please try the steps in our battery‑care guide (settings → battery → optimize) and then fully charge the phone. If the issue persists, DM us with your serial number.",3,4,4,3,Addresses battery guide but lacks explicit request to report back after a full charge cycle.
"I leave my house with 90% mid way to work my battery at 30%. Im sick of you guys scamming us , disgusting . Before update my phone was 100X better with battery.",We’re sorry you’re seeing that drop. Can you DM us your iPhone model and iOS version (Settings > General > About) so we can look into it?,4,5,5,4,"Addresses issue and asks for needed info, but could acknowledge frustration more fully."
WTF can u fix the draining battery issues cause by IOS11 - get an update STAT!! iso11,We’re sorry you’re seeing this. Could you DM us the device you’re using so we can look into the battery drain and help you out?,4,5,5,5,"Addresses issue by requesting device info calmly, but could mention iOS11 specifically."
My order for my iPhone X just cancelled by it self wtf. . And being charged 216$,We’re sorry to hear that. Please DM us with your order number and a bit more detail so we can look into the cancellation and charge for you.,4,5,4,4,"Acknowledges issue and requests order details, but could be more explicit about unexpected cancellation."
"So I drop my subscription and my music, the stuff I loaded from purchased CDs disappears. WTH !",We’re sorry you’re seeing that. Let’s get it sorted—can you DM us the device you’re using and whether the songs were added to Apple Music or just to your library? We’ll help you restore them.,5,5,5,4,Asks needed clarification but doesn't explicitly request full account details.
"Downloaded a live wallpaper app, went into subscriptions on my phone to see if anything was there and this app tried to scam me of paying a weekly subscription.... for some wallpapers. Sort it out",Thanks for flagging this. Were you able to cancel the subscription in Settings before any charge went through? Please DM us with your Apple ID (or order #) so we can investigate further.,4,3,4,3,Addresses issue but asks for Apple ID directly and omits refund process guidance.
says $2.99 but it’s not. Fix please.,We’re sorry for the mix‑up! Could you DM us with the app or subscription name and the country you’re in? Our billing team will look into it right away.,4,5,5,3,Missing request for a screenshot and specific routing details.
"Accidental €32 in-app purchase by six-year old daughter on the iPhone and iTunes won't offer any way to cancel it :( Plus, Apple chat support not working. Damn. /cc","We’re sorry to hear that! Please sign in with your Apple ID and report the purchase here: https://reportaproblem.apple.com. If you need further help, let us know your Apple ID (or a support case number) so we can connect you with the iTunes Store team.",4,5,4,2,Addresses the issue but omits refund policy details and Ask to Buy explanation.
why are you guys allowing an app to charge me I canceled the subscription in my phone already two weeks ago. And now I can’t download any apps,Thanks for reaching out! We’ve DM’d you—let’s look into the charge and the download issue together. Please share the app name and your Apple ID (or screenshot) so we can help. 🙏,2,4,4,2,"It asks for info but fails to acknowledge the download issue, verify dates, or mention a billing investigation."
what this I didn’t buy $300 gift card,"That definitely doesn’t sound right. Could you DM us with a bit more detail (order info, email, etc.)? We’ll look into it and get this sorted for you.",3,4,4,2,It asks for details but omits fraud verification guidance and routing to fraud review.
"getting odd itunes charges despite no longer owning any Apple products. Called, thought it was fixed, then happened again.",We’re sorry you’re still seeing those charges. Could you DM us your country so we can look into this further? Thanks!,4,4,4,3,"Acknowledges issue and asks for region, but is brief and omits guidance on next steps or avoiding repeat steps."
"hello, I've received an email which I think is spam, do you have a department that deals with phishing emails? I can't see any details in my Apple account relating to the subscription I've apparently taken out - I've not clicked anything in the email.",Thanks for letting us know. Apple doesn’t send unsolicited emails asking for payment. Please review our guide on reporting phishing emails: https://support.apple.com/en-us/HT201259. DM us if you need more help.,3,5,4,3,Addresses phishing but omits checking the account for a real subscription.
"On iOS 11, at the bottom of the iTunes app, it says I have $0 credit. But when I view my account, it shows the actual balance.",We can help sort that out. Could you DM us your device model and iOS version? We’ll walk through a quick refresh so the balance shows correctly.,3,4,4,2,It asks for device info but omits screenshot request and account verification steps.
I accidentally bought a $50 apple store card through email instead of iTunes card. Is there a way I could replace/return it?,We’ve got you covered—please DM us so we can look into swapping or refunding that card.,4,3,4,2,Addresses the request but omits needed disclaimer about eligibility review and does not clarify that approval is not guaranteed.
iphonex won't make calls. Its not an issue? Seems to be affecting all iphonex phones!,We’re sorry you’re having trouble. Can you share when this started and which carrier you’re using? We’ll help get your iPhone X calling again.,5,5,5,5,It asks the needed questions with appropriate empathy and no extraneous info.
I bought an Iphone6s and gifted for my brother in India and after 1 year it stopped supporting local network provider(any SIM),"We’re sorry to hear that. Could you DM us the iPhone’s serial number, iOS version, and the carrier you’re using? We’ll look into why it’s not connecting to the network in India.",3,4,5,3,"Asks for info but misses model/IMEI and region‑lock details, so only partially covers the needed response."
ever since I’ve downloaded IOS 11 on my iPhone 7 my phone has gone down hill with connection,We’re sorry you’re experiencing this. Could you DM us with more details about the connection issue? We’ll work with you to get it sorted.,4,5,5,5,"Asks for details via DM and shows empathy, but could reference the iOS 11 issue more directly."
Carplay broke with iPhoneX :( cannot connect with my Golf 2017,We’re sorry you’re having trouble. Which iOS version is your iPhone X running? Let’s get CarPlay back up—DM us if you need more help.,5,5,5,5,"It directly asks for iOS version, offers help, uses appropriate tone, and covers all required points."
thnx guys for even fucking up Bluetooth conn with my car so now I can't listen spotify ios11update ibrick iphone7,We’re sorry you’re having trouble. Can you DM us with your iPhone model and iOS version so we can dig into the Bluetooth issue and get Spotify playing again?,3,5,4,3,"Asks for needed info but misses car details and repeats known info, so only partially covers the needed reply."
haven’t been able to make a phone call since updating to iOS 11. Wtf,We’re sorry you’re having trouble. Can you DM us with your iPhone model and iOS 11 version so we can look into it?,2,3,4,1,"The reply is brief and asks for info but fails to address the urgent call loss, troubleshooting steps, or escalation guidance."
"umm, why won’t my personal hotspot connect to my laptop? I’ve tried restarting my network settings on my iphone and restarting my laptop but it still doesn’t work. On my laptop, it says “the connection is limited”","We’re sorry you’re seeing “limited” on your laptop. Can you share your iPhone’s iOS version and whether other devices can join the hotspot? Also, what’s the Wi‑Fi signal strength on the laptop? DM us the details so we can help.",4,5,5,4,"Good questions and tone, but doesn't acknowledge the user's prior troubleshooting steps."
What is going on with iMessage and FaceTime? They’re not working on my iPad,Hey there! Sorry you’re having trouble. Are you seeing any error messages or just no connection at all? Could you DM us your iPad model and iOS version so we can dig in and help you out?,5,5,5,5,"The reply directly asks for symptoms and needed device details in a friendly, appropriate manner."
How to forcibly switch to 2G /3G /4G on Apple 7 + ?,You can change your cellular data mode in Settings → Cellular → Cellular Data Options. The exact options may differ by carrier and region. Let us know where you’re using the iPhone so we can help further—DM us!,5,5,5,4,Provides the correct settings path but omits the specific 'Voice & Data' selection step for choosing 2G/3G/4G.
thank you for making such a shitty phone that decides to fail my FT call with Katie at least 7000 times a day.,We’re sorry you’re having trouble with FaceTime. Let’s get this fixed—could you DM us your device model and current iOS version? Thanks!,3,5,4,2,Asks for iOS but omits WiFi/cellular query and device model request is unnecessary.
"Maps explicitly NEVER has access to my location. Care to explain, ?",We’re sorry you’re having trouble. Could you DM us your iPhone model and iOS version so we can look into why Maps isn’t getting your location? Thanks!,3,4,4,2,It asks for device info but omits the key step of checking Location Services permission.
"i have a 5s and have latest ios update. Every night i turn off the wifi option, and morning to see the time i press my home button.","We want to make sure we understand—are you turning Wi‑Fi off in Settings, Control Center, or using Siri? Let us know how you’re disabling it at night so we can help troubleshoot.",2,4,4,2,It asks for clarification but doesn't confirm the issue or suggest how to fully disable Wi‑Fi as required.
"there’s a problem connecting to the server, I’m running ios 11.2.5 beta",We’re sorry you’re seeing this. Are you on the public beta or a developer build? Please DM us your iPhone model and whether you’ve tried Wi‑Fi and cellular. We'll help troubleshoot.,5,5,5,5,"Addresses beta type, notes instability, asks for details and moves to DM as required."
had me reset and restore my phone because nothing has been working for weeks. Now I cannot receive texts/calls 😡😡,We’re sorry you’re still having trouble. Can you DM us the iPhone model and iOS version you’re on? We’ll walk through a few steps to get texts and calls working again.,4,5,5,3,"Acknowledges issue and asks for info, but misses asking current call/text status and escalation intent."
Not sure if it's an issue or a issue but my husband just received 10 texts I sent him over the course of the last three weeks,"We’re happy to help! Are the messages all from you or from multiple contacts? Also, could you DM us your iOS version so we can look into it?",5,5,5,5,Addresses both required questions and requests iOS info in DM
My iPhone will no longer receive or make calls. Thanks for the wonderful iOS 11 update.,"We’re sorry you’re experiencing this. Can you let us know which iPhone model you have and the iOS version it’s running? In the meantime, try restarting your phone and checking Settings → Phone → Call Blocking & Identification. DM us if you need more help.",3,4,4,2,"Asks for info and a basic step, but doesn't confirm prior steps or request outcome, so incomplete."
Smart Keyboard cover keeps disconnecting from my iPad Pro. Have to restart often. Read about issues...,"We’re sorry you’re experiencing this. Could you DM us your iPad Pro model, iOS version, and any steps you’ve already tried? We’ll help get the Smart Keyboard staying connected.",5,5,5,5,"It directly asks for needed details and moves the conversation to DM, matching the suggested reply criteria."
"Dear what’s going on? iOS has never been so buggy on me. Siri doesn’t work with cellular, AirPods constantly loosing left/right settings)","We’re sorry you’re dealing with this! Which iOS version are you on (Settings → General → About → Version)? Also, are the AirPods losing left/right pairing every time you use them or only intermittently? Let us know via DM.",5,5,5,5,"It asks for iOS version and details on the AirPods issue, matching the guidance and uses an empathetic tone."
"My mmams iPhone 6 has been restarted and now is stuck on the choose wifi network screen. The password wont work, please help.","We’re sorry you’re stuck! Can you DM us a bit more detail—are you seeing the “incorrect password” message on all networks, or just one? We’ll help you get it back online.",5,5,5,5,"It asks about other networks and offers DM help, matching the suggested reply."
why does wifi keep disconnecting on my iPhone 6s after latest update? Please fix asap,We’re sorry you’re having trouble. Can you DM us your iOS version and let us know if you’ve tried a quick restart or toggling Wi‑Fi off in Control Center? We’ll help get it back up.,5,5,5,5,"Addresses the issue, asks needed info, offers basic steps, and invites DM for further help."
"iphone 7+ w/ 11.0.3 - bluetooth in car still works 4 calls but now can't use BT audio. rebooted phone + car, known issue?",Thanks for letting us know. Can you DM us your iPhone model and iOS version so we can dig into the Bluetooth audio issue? We'll work with you to get it fixed.,2,4,4,2,It asks for info already provided and doesn't acknowledge the calls‑only issue.
I’m trying to make a call to report a crime but after the iOS update my phone doesn’t make calls anymore. Help please!,We’re sorry you’re experiencing this. Could you DM us with the iOS version you’re on and whether you see “No Service” or an error when you try to call? We’ll get this sorted for you.,3,4,3,2,It asks for details but lacks urgency and immediate troubleshooting steps.
i’m going to need someone to tell me how to get the reputation album I PAID FOR back onto my phone? I can’t find it anywhere 😡😩 annoyed,"We can help! Was the album purchased from the iTunes Store? If so, check your Purchases in the Music app or let us DM you so we can look into it. 🚀",4,5,4,3,Addresses purchase source but omits request for order/receipt and full verification steps.
hey why did my iPad just delete every photo off my memory card when I just selected one to be deleted,That’s not expected behavior. Could you DM us the iPad model and iOS version you’re on? We’ll dig in and help get your photos back.,4,5,4,3,"Acknowledges issue and asks for info, but doesn't request details on the tap action as noted."
